今度,こんどっていつだろう,f
おつかれ,🍛,t
てぃあら,てぃあらしか勝たん,f
トゥル,トゥルトゥル,f
ぴえん,🥺,f
あーす,(´^ω^｀)ﾌﾞﾌｫwww,f
ミラ,働け糞ニート,f
くるり,童貞,f
くらばん,21805,f
そーる,そーるしか勝たん,f
そうる,そうるは神(´つヮ⊂)ｳｵｫwww,f
ありす,ありすしか勝たん,f
しね,🥺,f
童貞,しね,f
@くらんせんについて,クラン戦の募集は20:00～20:30の間に行います。21:00～、22:00～に始まります。各部の参加者はtextroomクラン戦のお鼻氏でキャラ固定をします。使用するキャラを伝えてください。,f
まっさかカーニバル,そんな祭りは存在しない,f
おちんちん,呼ばれた気がした,
わけわかめ,わけわかめを検出しました。,
好き,💞,
草,こいつ草とか言ってます,
萎え,元気だして。,
モンキーズ,その言葉酌に触る,
おっぱい,うほ,
ごめん,赦す♡,
ありがとう,いいってことよ,
うんち,💩,t
おまる,吉澤しゅうだいくんがどうしたって？,
おっしゃん,カッコヨ,
わけんかめ,へっ間違えやがって,
ケマラ,ケマラさん好き💞,
おやすみ,また明日💞,
疲れた,お疲れちゃん、元気出して,
それな,それな,
桜,彩久来ちゅぁん💔,
やったぜ,よかったな,
たいあり,くそくらえ,
対あり,はいはいはいはいはいはいはい,
マー,うん。。いいだろう,
